date,population,admission,release
2023-11-07,108766.94694778866,2868.358144125203,2930.6361543467797
2023-11-08,108579.91893756708,2745.8581441252036,3093.2611543467797
2023-11-09,108345.0159273455,2858.3581441252036,3276.594487680113
2023-11-10,107960.44625045727,2889.52481079187,1576.9944876801135
2023-11-11,108633.07657356902,2249.77481079187,1156.3944876801131
2023-11-12,109434.70689668079,1958.0248107918703,1201.0611543467799
2023-11-13,109868.0038864592,1634.3581441252038,3424.970245255871
2023-11-14,108919.30087623763,2762.8581441252036,3285.81115434678
2023-11-15,108405.59786601605,2771.2581441252037,3235.2278210134464
2023-11-16,107949.89485579447,2780.3581441252036,3263.56115434678
2023-11-17,107455.6918455729,2769.3581441252036,2903.465000500626
2023-11-18,107542.31575842823,2989.819682586742,1371.1957697313953
2023-11-19,108226.43967128357,2055.3196825867417,1412.9457697313953
2023-11-20,108465.56358413893,1654.3196825867424,3564.6062960471845
2023-11-21,107403.86468997673,2503.1398580253385,3261.255418854202
2023-11-22,106649.66579581452,2508.056524692005,3037.0554188542023
2023-11-23,105966.06690165233,2353.856524692005,931.0220855208689
2023-11-24,106365.96800749014,1332.523191358672,1267.4554188542024
2023-11-25,107043.86911332796,1945.3565246920055,1106.4554188542024
2023-11-26,107665.77021916576,1728.3565246920055,1101.9952638154425
2023-11-27,108021.90109244542,1457.506137095106,3152.6419304821093
2023-11-28,107341.39863239175,2470.5394704284395,2936.0419304821094
2023-11-29,107038.79617233807,2635.8394704284387,2844.1440581416837
2023-11-30,106822.57669100782,2627.924576811418,2938.477391475017
2023-12-01,106518.19054301087,2634.091243478085,3108.11375511138
2023-12-02,106420.85742531698,3014.6594252962664,1220.9925429901687
2023-12-03,107173.52430762308,1972.0594252962667,1300.1925429901687
2023-12-04,107527.79118992915,1654.4594252962668,3237.859209656835
2023-12-05,106876.05807223528,2586.126091962933,2987.8592096568354
2023-12-06,106590.57495454137,2702.376091962933,3187.1092096568354
2023-12-07,105981.59183684748,2576.626091962933,2984.159209656835
2023-12-08,105725.64205248689,2730.2094252962665,2966.159209656835
2023-12-09,105582.19226812634,2822.7094252962665,1208.8258763235021
2023-12-10,106268.40915043242,1894.2927586296,1254.9925429901687
2023-12-11,106594.04269940518,1581.3760919629333,3156.7425429901687
2023-12-12,105758.67624837793,2321.376091962933,2849.7425429901687
2023-12-13,105515.80979735071,2607.376091962933,2982.7425429901687
